,Unnamed: 0.1,Unnamed: 0,CNPJ B,CNPJ O,CNPJ DV,MATRIZ/FIL,NOME FANT,STC,DATA STC,MOTIVO STC,CD EXT,PAIS,DT IN ATV,CNAE PRINCP,CNAE SECND,TIPO LOGR,LOGRD,NUMERO,COMPLEMENTO,BAIRRO,CEP,UF,MUNICIPIO,DDD1,TELEFONE1,DDD2,TELEFONE2,DDDFAX,FAX,CORREIO ELET,ST ESPC,DATA ST ESPC,CNAE PRINCIP
12,12,20,8269460,2,2,2,ENTERIW PROVEDOR DE INTERNET,2,2021-10-28,0,,,2009-10-09,Provedores de acesso às redes de comunicações,,GALERIA,BACANA,46,,CENTRO,63400000.0,CE,1375,88.0,99417217.0,,,,,,,,6190601
13,13,21,29979036,1635,20,2,APS CEDRO/CE,2,2014-04-23,0,,,2014-04-23,Seguridade social obrigatória,,RUA,CORONEL ANTONIO AFONSO,S/N,,CENTRO,63400000.0,CE,1375,88.0,35724300.0,,,,,,,,8430200
14,14,22,13527230,1,55,1,LOJAO DO REAL,2,2011-04-11,0,,,2011-04-11,"Lojas de variedades, exceto lojas de departamentos ou magazines","4755503,4789001,4763601,4755502,4759899",RUA,DEP LIBERATO MOACIR DE AGUIAR,00158,,CENTRO,63400000.0,CE,1375,88.0,35640005.0,,,88.0,35640005.0,juniorlopescedro@hotmail.com,,,4713002
15,15,23,17625196,1,2,1,LOJA MACONICA FERNANDO FERREIRA LIMA 138,2,2012-04-12,0,,,2012-04-12,Atividades associativas não especificadas anteriormente,,RODOVIA,CE 284 (RODOVIA CELSO ALVES DE ARAUJO E SILVA),00,,JARDIM AFONSO CELSO,63400000.0,CE,1375,88.0,93935005.0,88.0,99701553.0,,,,,,9499500
16,16,24,17964798,1,94,1,PANIFICADORA CENTRAL,2,2013-04-05,0,,,2013-04-05,Padaria e confeitaria com predominância de revenda,"5620103,5620102",RUA,ANTONIO VALDER VIANA,131,,CENTRO,63400000.0,CE,1375,88.0,94281175.0,,,,,TANISIAGCE@GMAIL.COM,,,4721102
17,17,27,19762190,1,2,1,ELISANGELA VARIEDADES,2,2014-02-20,0,,,2014-02-20,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal","4781400,4782201",RUA,Ver. Antonio Viana Araujo,340,,Fatima,63400000.0,CE,1375,88.0,35641408.0,,,,,evilauvesjunior@bol.com.br,,,4772500
18,18,28,22078039,1,64,1,HORTIFRUTI VOLTA LIMA,2,2022-06-01,0,,,2015-03-18,"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados","4723700,4729699",RUA,CEL JOAO CANDIDO,226,,CENTRO,63400000.0,CE,1375,88.0,99579521.0,,,,,brunolima800@gmail.com,,,1033302
19,19,29,22530830,1,63,1,CEDRO CELL,2,2022-05-07,0,,,2015-05-26,Comércio varejista especializado de equipamentos de telefonia e comunicação,"4751201,4713002,4759899,4755502,4762800,4741500,4789008,4789007",RUA,CEL JOSE DE ALBURQUERQUE,407,,CENTRO,63400000.0,CE,1375,88.0,92272303.0,,,,,CRISTIANNECARIUS@OUTLOOK.COM,,,4752100
20,20,30,23086356,1,95,1,GABY BRINQUEDOS,2,2015-08-18,0,,,2015-08-18,Comércio varejista de brinquedos e artigos recreativos,"4755503,4755502,4783101,4781400,4789099,4713002,4729699,4782201,4772500",RUA,ANTONIO VALDER VIANA,187,,CENTRO,63400000.0,CE,1375,88.0,92454718.0,,,,,,,,4763601
21,21,32,24816748,1,25,1,PARTIDO SOCIAL LIBERAL PSL,2,2019-10-01,0,,,2016-03-08,Atividades de organizações políticas,,RUA,RUA C,417,,FATIMA,63400000.0,CE,1375,88.0,98588731.0,,,,,,,,9492800
22,22,33,25045027,1,21,1,SPACO CHIC,2,2016-06-21,0,,,2016-06-21,Comércio varejista de artigos do vestuário e acessórios,"4755503,4755502,4783102,4783101,4789001,4789099,4782201,4772500",RUA,ANTONIO VALDER VIANA,109,,CENTRO,63400000.0,CE,1375,88.0,96423150.0,,,,,spacochicemcedro@gmail.com,,,4781400
23,23,34,15574956,1,74,1,ADNA BIJU,2,2012-05-15,0,,,2012-05-15,"Comércio varejista de suvenires, bijuterias e artesanatos","4713002,4744001,4755502,4757100,4759899,4761003,4763601,4772500,4782202,4783101,4783102",RUA,CEL JOSE DE ALBUQUERQUE,618,,CENTRO,63400000.0,CE,1375,88.0,99155134.0,88.0,96531203.0,,,ADNAFAKE1@HOTMAIL.COM,,,4789001
24,24,35,17415706,1,17,1,MERCADINHO NOSSA SENHORA APARECIDA,2,2013-01-16,0,,,2013-01-16,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,"4763601,4755503,4755502,4783102,4789001,4781400,4789005,4782201,4772500",RUA,RAIMUNDO PAIVA DA SILVA,00247,,DIVISAO,63400000.0,CE,1375,88.0,96599529.0,,,,,fgenivaldooliveira@bol.com.br,,,4729699
25,25,36,15008164,1,32,1,MEDEIROS E FRAZAO REPRESENTACOES,2,2021-09-09,0,,,2012-02-01,Desenvolvimento e licenciamento de programas de computador não-customizáveis,"4615000,4616800,4617600,4618401,7729202,7739099,8230001,8230002,9001906",RUA,JOSE PEREIRA MAGALHAES,12,,DE FATIMA,63400000.0,CE,1375,83.0,96442905.0,,,75.0,32233987.0,YCAROFARMA1@HOTMAIL.COM,,,6203100
26,26,38,29123720,1,26,1,JD METALURGICA,2,2017-11-22,0,,,2017-11-22,"Fabricação de artigos de serralheria, exceto esquadrias","2532201,2512800",RUA,MARIA LUIZA AFONSO,463,,JARDIM AFONSO CELSO,63400000.0,CE,1375,88.0,99883495.0,,,,,joilson550@yahoo.com,,,2542000
27,27,39,29169868,1,0,1,FELIPINHO MOTOS,2,2017-11-29,0,,,2017-11-29,Comércio a varejo de peças e acessórios novos para  motocicletas e motonetas,"4530705,4530704,4530703",RUA,SENADOR JOAO TOME,203,,CENTRO,63400000.0,CE,1375,88.0,96087737.0,,,,,,,,4541206
28,28,40,28337402,1,3,1,GARDEN CLUB,2,2017-08-03,0,,,2017-08-03,"Serviços de organização de feiras, congressos, exposições e festas","5590699,8230002",RUA,JOSE AIRTON DE SOUZA,402,,RODOVIARIA,63400000.0,CE,1375,88.0,96181410.0,,,,,leide.rodriguesbrito@gmail.com,,,8230001
29,29,41,26307933,1,10,1,NEW CAR - AUTO PECAS E ACESSORIOS,2,2016-09-20,0,,,2016-09-20,Comércio a varejo de peças e acessórios novos para veículos automotores,"3314712,4520001,4520002,4520003,4520004,4520006,4520007,4530705,4543900,4732600",RUA,ADAUTO CASTELO,551,,CENTRO,63400000.0,CE,1375,88.0,98003138.0,88.0,99131467.0,,,CLEBIO.CONTABILIDADE@HOTMAIL.COM,,,4530703
30,30,44,33583083,1,48,1,HORTIFRUTI BOM NO PRECO,2,2019-05-10,0,,,2019-05-10,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","4723700,4724500,4755502",RUA,Coronel Jose de Albuquerque,495,,Centro,63400000.0,CE,1375,88.0,97390059.0,,,,,eriveltonsiebra@gmail.com,,,4712100
31,31,45,33777307,1,52,1,TOP CEARENSE,2,2021-07-28,0,,,2019-05-30,Fabricação de sabões e detergentes sintéticos,"2062200,2063100,2222600,2229301,3299006,3299099,4712100,4789005,4930203",ALAMEDA,JOSE QUINTINO,218,,PRADO,63400000.0,CE,1375,88.0,99327123.0,,,,,JADSONBEZERRAa3@HOTMAIL.COM,,,2061400
32,32,47,35006850,1,81,1,PADARIA TRES IRMAOS,2,2019-09-27,0,,,2019-09-27,Padaria e confeitaria com predominância de revenda,"4721103,4772500,4789005",10A RUA,VALDEMIR ALBUQUERQUE,435,,JARDIM AFONSO CELSO,63400000.0,CE,1375,88.0,99417217.0,,,,,clebio.contabilidade@hotmail.com,,,4721102
33,33,48,35262165,1,16,1,ESMALTERIA DA DRY,2,2019-10-22,0,,,2019-10-22,"Cabeleireiros, manicure e pedicure","8599604,9602502,4772500",RUA,VEREADOR ALVES DINIZ,26,,FATIMA,63400000.0,CE,1375,88.0,97385467.0,,,,,adrica16amor@gmail.com,,,9602501
34,34,51,35472978,1,30,1,MERCADINHO SAO MIGUEL,2,2019-11-11,0,,,2019-11-11,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","4781400,4723700,4755502,4772500,4782202,4782201",RUA,VEREADOR SALUSTIANO MOURA,548,TERREO,CENTRO,63400000.0,CE,1375,88.0,99958407.0,,,,,MAYARAPSI@HOTMAIL.COM,,,4712100
35,35,52,35803518,1,48,1,ANA MARIA BATISTA DE LIMA PAULA 0356288,2,2019-12-17,0,,,2019-12-17,Promoção de vendas,,RUA, SAO JOSE,1503,,CENTRO,63400000.0,CE,1375,88.0,92619233.0,,,,,JOANA.BL@HOTMAIL.COM,,,7319002
36,36,55,38075063,1,80,1,LOJAO DA MODA,2,2020-08-13,0,,,2020-08-13,Comércio varejista de artigos do vestuário e acessórios,"4752100,4789099,4789001,4755503,4763602,4763601,4772500,4782201,4783102,4774100",RUA,CEL. JOSE DE ALBUQUERQUE,516,TERREO,CENTRO,63400000.0,CE,1375,88.0,96309223.0,,,,,ALRILENEVERISSIMO@HOTMAIL.COM,,,4781400
37,37,56,38821723,1,24,1,CLINICA ODONTOLOGICA DRA LENARA DINIZ,2,2020-09-24,0,,,2020-09-24,Atividade odontológica,"8650001,8712300",RUA,VER SALUSTIANO MOURA,414,SALA  02,CENTRO,63400000.0,CE,1375,88.0,96039201.0,88.0,96304312.0,,,ODONTODRALENARADINIZ@BOL.COM.BR,,,8630504
38,38,57,38824818,1,0,1,EVS ESPORTES,2,2020-09-24,0,,,2020-09-24,Comércio varejista de artigos esportivos,"4781400,4789001,4763601,4772500,4782201,4783102,4774100",AVENIDA,PEDRO LOPES VIEIRA,132,,CENTRO,63400000.0,CE,1375,88.0,92423844.0,,,,,EVSESPORTES@GMAIL.COM,,,4763602
39,39,58,38912938,1,50,1,POSTO ALFA MIRANTE,2,2020-09-25,0,,,2020-09-25,Comércio varejista de combustíveis para veículos automotores,"4732600,4784900",AVENIDA,FRANCISCO HELIO VIANA DE ARAUJO,327,,PRADO,63400000.0,CE,1375,88.0,96304257.0,88.0,99208584.0,,,POSTOALFAMIRANTE@GMAIL.COM,,,4731800
40,40,60,40748614,1,70,1,MERCADINHO SANTO ANTONIO,2,2021-02-08,0,,,2021-02-08,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,"4789005,4721103,4721102,4772500,4723700",RUA,CORONEL ANTONIO AFONSO,226,,ACUDE NOVO,63400000.0,CE,1375,88.0,96416068.0,,,,,MERCEARIADONEUCEDROCE@GMAIL.COM,,,4729699
41,41,0,42232518,1,9,1,F D TELECOM,2,2021-06-08,0,,,2021-06-08,Outras atividades de telecomunicações não especificadas anteriormente,,RUA,PADRE SA,207,,CENTRO,63400000.0,CE,1375,88.0,94599839.0,,,,,CLEBIO.CONTABILIDADE@HOTMAIL.COM,,,6190699
42,42,2,43048096,1,70,1,OFICINA ALVES,2,2021-08-09,0,,,2021-08-09,Serviços de manutenção e reparação mecânica de veículos automotores,"4530703,4530704,3314712",RUA,CHIQUINHO CARTEIRO,190,,ALTO DO PADEIRO,63400000.0,CE,1375,88.0,99079166.0,,,,,OFICINAALVESCEDROCE@GMAIL.COM,,,4520001
43,43,4,43824657,1,86,1,PRO LIFE MEDIC,2,2021-10-08,0,,,2021-10-08,Comércio varejista de artigos médicos e ortopédicos,"4618402,4729699,4771701,7729203,8630502,8630503,8640202,8650001,8650002,8650099,8712300",RUA,CEL. JOSE DE ALBUQUERQUE,559,BLOCO A,CENTRO,63400000.0,CE,1375,88.0,81762457.0,,,,,PROLIFEMEDIC01@GMAIL.COM,,,4773300
44,44,5,45216589,1,6,1,LANCHONETE DOCE SABOR,2,2022-02-09,0,,,2022-02-09,"Lanchonetes, casas de chá, de sucos e similares",4721102,AVENIDA,PEDRO LOPES VIEIRA,246,,CENTRO,63400000.0,CE,1375,88.0,94953835.0,,,,,LANCHONETEEPAESDOCESABOR@GMAIL.COM,,,5611203
45,45,6,46246795,1,13,1,MERCADINHO CLEONILTON,2,2022-05-03,0,,,2022-05-03,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",4723700,RUA,SENADOR JOAO TOME,SN,BOX 3 E 4 MERC PUB VELHO,CENTRO,63400000.0,CE,1375,88.0,94411922.0,,,,,CLEOCEDRO1992@GMAIL.COM,,,4712100
46,46,8,46722951,1,75,1,MERCADINHO PEDRP DE MATOS,2,2022-06-09,0,,,2022-06-09,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",,SITIO,PITOMBEIRA,S/N,,DISTRITO VARZEA DA CONCEICAO,63400000.0,CE,1375,88.0,81532622.0,,,,,RAISSAOLIVMORENO@GMAIL.COM,,,4712100
47,47,9,46782647,1,13,1,FOCO NA SAUDE,2,2022-06-14,0,,,2022-06-14,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,,10A RUA,JOSE PACIFICO DA SILVA,20,CASA;CASA;CASA;BLOCO,FATIMA,63400000.0,CE,1375,88.0,81867383.0,,,,,FERNANDOXMOURA@HOTMAIL.COM,,,4729699
48,48,10,46842771,1,27,1,BROWN ACESSORIOS - TUDO PARA CELULARES & TECNOLOGIA,2,2022-06-20,0,,,2022-06-20,Comércio varejista especializado de equipamentos de telefonia e comunicação,"4789001,4751201,4763601,4753900,4785799,4782202,4756300,4789007,4783102,4774100",RUA,VEREADOR SALUSTIANO MOURA,598,,CENTRO,63400000.0,CE,1375,88.0,93798771.0,,,,,BROWNCELULARESCEDROCE@GMAIL.COM,,,4752100
49,49,11,47483305,1,65,1,ALMEIDA DISTRIBUIDORA DE BEBIDAS,2,2022-08-09,0,,,2022-08-09,Comércio varejista de bebidas,"4721103,4729699",RUA,PROFESSOR NATANAEL CORTEZ,649,ANEXO 01,PRADO,63400000.0,CE,1375,88.0,92367717.0,,,,,ALMEIDADISTRIBUIDORACEDROCE@GMAIL.COM,,,4723700
50,50,12,7652216,107,39,2,FUNERARIA ANJO DA GUARDA,2,2022-12-05,0,,,2022-12-05,Serviços de funerárias,"9603301,9603302,9603303,9603305,9603399",RUA,SEN. JOAO TOME,166,,CENTRO,63400000.0,CE,1375,88.0,92442327.0,,,,,SOCIETARIO@ANJODAGUARDA.COM,,,9603304
51,51,15,49610193,1,91,1,PAPELARIA CENTRAL,2,2023-02-15,0,,105.0,2023-02-15,Comércio varejista de artigos de papelaria,"1811302,1812100,1813001,6209100,7733100,8599603,9511800,4751201,4753900,8020001,4752100,1822999,1822901,4789007,4757100,8219901,1813099",RUA,ADAUTO CASTELO,384,,CENTRO,63400000.0,CE,1375,88.0,92260741.0,0.0,0.0,,,CINILDOCE@GMAIL.COM,,,4761003
52,52,16,50007697,1,9,1,CASA VAREJO,2,2023-03-21,0,,105.0,2023-03-21,"Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação","4752100,4754701,4744002,4789007",AVENIDA,ENEAS VIANA DE ARAUJO,473,LOJA  01,CENTRO,63400000.0,CE,1375,88.0,82276043.0,0.0,0.0,,,JADSONBEZERRA_3@HOTMAIL.COM,,,4757100
53,53,17,50065177,1,44,1,ARENA SUNSET CEDRO,2,2023-03-24,0,,105.0,2023-03-24,Gestão de instalações de esportes,"5611201,5611203",RUA,CEL. CELSO ALVES DE ARAUJO,248,,BAIRRO DE FATIMA,63400000.0,CE,1375,85.0,81232211.0,0.0,0.0,,,MARCUSALMEIDA166@GMAIL.COM,,,9311500
54,54,18,50442711,1,94,1,GELA GUELA - DELIVERY,2,2023-04-25,0,,,2023-04-25,Comércio varejista de bebidas,,AVENIDA,PEDRO LOPES VIEIRA,398,LETRA B,CENTRO,63400000.0,CE,1375,88.0,92815311.0,,,,,LUIZCLEDSON19@GMAIL.COM,,,4723700
55,55,19,50475580,1,41,1,RS VARIEDADES,2,2023-04-27,0,,,2023-04-27,Comércio varejista de artigos do vestuário e acessórios,,RUA,21 DE OUTUBRO,945,,ALTO DA INDEPENDENCIA,63400000.0,CE,1375,88.0,99696221.0,,,,,REGINILDAMARTINS@GMAIL.COM,,,4781400
56,56,20,50549664,1,82,1,DY ARTES MOVEIS TUBULARES,2,2023-05-04,0,,,2023-05-04,Comércio varejista de móveis,"4755501,2542000,7319002,2512800,4741500,2539002,2539001,2543800,4743100,4744002",AVENIDA,ADALTO CASTELO,SN,,CENTRO,63400000.0,CE,1375,88.0,97790974.0,,,,,SILVACICERO332@GMAIL.COM,,,4754701
57,57,21,50955405,1,51,1,JV CORRETORA DE SEGUROS,2,2023-06-06,0,,105.0,2023-06-06,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",6621501,RUA,CORONEL JOAO CANDIDO,346,,FATIMA,63400000.0,CE,1375,88.0,99914772.0,0.0,0.0,,,MATOSSERVICOSCONTABEIS@GMAIL.COM,,,6622300
58,58,25,2200776,1,80,1,ARROZ E RACOES ELMA,2,2005-07-09,0,,,1997-10-31,Fabricação de alimentos para animais,4691500,ESTRADA,CE 113,32,,ZONA RURAL,63400000.0,CE,1375,88.0,99417217.0,88.0,92916523.0,,,,,,1066000
59,59,27,7892110,2,35,2,ARMAZEM PROGRESSO,2,2005-07-16,0,,,1966-08-19,Comércio varejista de tecidos,,RUA,ANTONIO VALDER VIANA,134,,CENTRO,63400000.0,CE,1375,88.0,35640101.0,,,,,,,,4755501
60,60,29,7067789,1,47,1,CICLOPECAS,2,,0,,,2004-10-20,Comércio a varejo de peças e acessórios novos para  motocicletas e motonetas,"4530705,4543900",RUA,SANADOR JOAO TOME,349,,CENTRO,63400000.0,CE,1375,88.0,99417217.0,,,,,CLEBIO.CONTABILIDADE@HOTMAIL.COM,,,4541206
61,61,32,7767882,1,64,1,MERCANDINHO CONFIANCA,2,2005-11-03,0,,,1985-07-04,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",,RUA,VEREADOR SALUSTIANO MOURA,501,,CENTRO,63400000.0,CE,1375,88.0,96179874.0,,,,,,,,4712100
62,62,33,11368206,1,95,1,FRIGOTIL,2,2005-11-03,0,,,1986-09-05,Comércio varejista de carnes - açougues,4722902,RUA,VEREADOR SALUSTIANO DE MOURA,15,,CENTRO,63400000.0,CE,1375,88.0,96130052.0,,,,,,,,4722901
63,63,35,7516303,1,0,1,LINDA BELLA,2,2005-07-22,0,,,2005-07-22,Comércio varejista de artigos do vestuário e acessórios,"4755502,4755503,4782201",RUA,CEL. JOSE DE ALBUQUERQUE,515,,CENTRO,63400000.0,CE,1375,88.0,96895554.0,,,,,DINACEDRO@YAHOO.COM.BR,,,4781400
64,64,38,8059752,1,30,1,MERCADINHO IDEAL,2,2006-05-26,0,,,2006-05-26,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",4755502,RUA,SENADOR JOAO TOME,08,,CENTRO,63400000.0,CE,1375,88.0,99521654.0,,,,,,,,4712100
65,65,39,0,1836,87,2,CEDRO CE,2,2005-11-03,0,,,1980-12-01,"Bancos múltiplos, com carteira comercial",6499999,RUA,VEREADOR SALUSTIANO MOURA,478,,CENTRO,63400000.0,CE,1375,88.0,35640325.0,88.0,35640212.0,88.0,35641384.0,AGE1293@BB.COM.BR,,,6422100
66,66,41,4336176,1,70,1,FARMACIA CONVIVA VIANA,2,2001-03-08,0,,,2001-03-08,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas","4772500,4773300,4789099,7820500",RUA,VEREADOR SALUSTIANO MOURA,575,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4771701
67,67,42,8635439,1,0,1,AAPLI,2,2007-01-29,0,,,2007-01-29,Atividades de associações de defesa de direitos sociais,9499500,SITIO,ANGICOS,SN,,ZONA RURAL,63400000.0,CE,1375,88.0,99572996.0,,,,,,,,9430800
68,68,43,8342555,2,4,2,ATUAL NET,2,2007-07-04,0,,,2007-07-04,Provedores de acesso às redes de comunicações,4751201,RUA,MESTRE LUIZ BEZERRA,141,,PRADO,63400000.0,CE,1375,83.0,35312446.0,,,,,,,,6190601
69,69,45,10531731,1,17,1,H F MOTOS,2,2008-12-05,0,,,2008-12-05,Comércio a varejo de motocicletas e motonetas usadas,"4511102,4541203",RUA,CEL JOSE DE ALBUQUERQUE,516,,CENTRO,63400000.0,CE,1375,88.0,99512763.0,,,,,,,,4541204
70,70,48,11973307,1,95,1,A P L DA BACIA SAO MIGUEL,2,2010-04-23,0,,,2010-04-23,Preparação do leite,,DISTRITO,UBALDINHO,SN,,ZONA RURAL,63400000.0,CE,1375,88.0,94087974.0,,,,,,,,1051100
71,71,49,63495543,12,8,2,LIQUIGAS,2,2010-08-13,0,,,2010-08-13,Comércio varejista de gás liqüefeito de petróleo (GLP),,RUA,ZE PAJE,393,,CENTRO,63400000.0,CE,1375,88.0,35810428.0,,,,,ailamariabr@yahoo.com.br,,,4784900
72,72,50,12921282,1,49,1,COMERCIAL BALEIA,2,2010-11-17,0,,,2010-11-17,Comércio varejista de materiais de construção em geral,"4789004,4723700",RUA,CEL JOSE DE ALBUQUERQUE,590,,CENTRO,63400000.0,CE,1375,88.0,35641091.0,,,,,,,,4744099
73,73,54,15794600,1,46,1,DEM NO CEDRO,2,2020-06-04,0,,,2011-10-05,Atividades de organizações políticas,,RUA,GALERIA BACANA,SN,,CENTRO,63400000.0,CE,1375,85.0,99273847.0,,,,,,,,9492800
74,74,55,10601471,1,9,1,EDSON CONFECCOES,2,2009-01-26,0,,,2009-01-26,Comércio varejista de artigos do vestuário e acessórios,,RUA,SENADOR JOAO TOME,008,,CENTRO,63400000.0,CE,1375,88.0,99512763.0,,,,,,,,4781400
75,75,56,17963858,1,54,1,NILDO PRE-MOLDADOS,2,2013-04-19,0,,,2013-04-19,"Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",,AVENIDA,AVENIDA PEDRO LOPES VIEIRA,SN,,PEGA AVOANTE,63400000.0,CE,1375,88.0,96022296.0,,,,,,,,2330399
76,76,57,11923863,1,57,1,A C CO B V C,2,2010-05-04,0,,,2010-05-04,Atividades de apoio à pecuária não especificadas anteriormente,"0151202,0153902,0153901",DISTRITO,VARZEA DA CONCEICAO,SN,,ZONA RURAL,63400000.0,CE,1375,88.0,99196944.0,88.0,81251546.0,,,,,,162899
77,77,61,19144238,1,19,1,LOJAO DA FE,2,2013-10-26,0,,,2013-10-26,Comércio varejista de artigos do vestuário e acessórios,,RUA,VEREADOR SALUSTIANO MOURA,561,,CENTRO,63400000.0,CE,1375,83.0,98024114.0,,,,,LOJAODAFECEDROCE@GMAIL.COM,,,4781400
78,78,62,20709312,1,86,1,A G CEREALISTA,2,2014-07-24,0,,,2014-07-24,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",4723700,RUA,JOAQUIM FERREIRA DA SILVA,69,,FATIMA,63400000.0,CE,1375,88.0,99653990.0,,,,,,,,4712100
79,79,65,23203214,1,60,1,ARLINDOS REFRIGERACAO & CIA.,2,2021-07-30,0,,,2015-09-02,Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial,"4744099,4744003,4742300,9521500,4753900,4322302,4757100,4321500,4789007,3321000",RUA,PREFEITO ANTONIO ALVES DOS SANTOS,187,,FATIMA,63400000.0,CE,1375,88.0,97711080.0,,,,,larlindoneto@hotmail.com,,,3314707
