,CNPJ B,CNPJ O,CNPJ DV,MATRIZ/FIL,NOME FANT,STC,DATA STC,MOTIVO STC,CD EXT,PAIS,DT IN ATV,CNAE PRINCP,CNAE SECND,TIPO LOGR,LOGRD,NUMERO,COMPLEMENTO,BAIRRO,CEP,UF,MUNICIPIO,DDD1,TELEFONE1,DDD2,TELEFONE2,DDDFAX,FAX,CORREIO ELET,ST ESPC,DATA ST ESPC,CNAE PRINCIP
33,9521964,1,50,1,,8,1995-08-28,1,,,1980-01-15,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",,RUA,DR JOAO PESSOA,S/N,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4712100
34,10491637,1,81,1,,8,2017-12-13,1,,,1986-05-16,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",4723700,RUA,TABELIAO RAIMUNDO DOS SANTOS,168,,FATIMA,63400000.0,CE,1375,88.0,35640193.0,,,,,,,,4712100
35,86946639,1,80,1,COVARZEA,8,2008-12-31,71,,,1994-03-24,Atividades paisagísticas,,RUA,DO COMERCIO,S N,,VARZEA DA CONCEICAO,63405000.0,CE,1375,,,,,,,,,,8130300
36,12284402,1,44,1,,8,2004-02-27,1,,,1987-10-09,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",,RUA,D PEDRO II,S N,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4711301
37,12467841,1,92,1,,8,2012-04-09,1,,,1990-09-17,Atividades de associações de defesa de direitos sociais,"9493600,9499500",RUA,CEL JOSE G DINIZ,161,,CENTRO,63400000.0,CE,1375,,,,,,,,,,9430800
38,69715878,1,0,1,ARLESENILDA MODAS,8,2008-12-31,71,,,1993-03-29,Comércio varejista de ferragens e ferramentas,,RUA,SAO JOSE,SN,,PEDRA AVOANTE,63400000.0,CE,1375,,,,,,,,,,4744001
39,35087535,1,26,1,,8,2003-03-20,1,,,1990-01-17,Comercio varejista de artigos de armarinho,,RUA,VER. SALUSTIANO MOURA,000595,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4755502
40,7524164,1,67,1,ACACP,8,2007-06-05,1,,,2005-07-28,Atividades de associações de defesa de direitos sociais,"9493600,9499500",SITIO,PARNAIBA,SN,,ZONA RURAL,63400000.0,CE,1375,,,,,,,,,,9430800
41,5273206,1,9,1,RAIMUNDA OLIVEIRA LIMA MERCEARIA,8,2008-12-31,71,,,1977-01-21,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",,RUA,DR JOAO PESSOA,S N,TERREO,CENTRO SEDE,63400000.0,CE,1375,,,,,,,,,,4711301
42,6653138,1,76,1,,8,2004-12-31,1,,,2004-07-20,Atividades de organizações políticas,,RUA,NATANAEL CORTEZ,697,,PRADO,63400000.0,CE,1375,,,,,,,,,,9492800
43,2962700,1,92,1,CEDROMOVEIS,8,2008-12-31,71,,,1999-01-20,Comércio varejista de móveis,,RUA,ADAUTO CASTELO,000396,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4754701
44,6808697,1,8,1,,8,2004-12-31,1,,,2004-07-27,Atividades de organizações políticas,,RUA,PADRE SA,392,,CENTRO,63400000.0,CE,1375,,,,,,,,,,9492800
45,901957,1,9,1,PARAISO DOS RETALHOS,8,2015-02-09,73,,,1995-11-01,Comércio varejista de tecidos,,RUA,JOEL PASSOS,17,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4755501
46,73390841,1,26,1,MERCEARIA SAO FRANCISCO,8,2015-02-09,73,,,1993-09-24,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",,RUA,PRESIDENTE KENNEDY,172,,DE FATIMA,63400000.0,CE,1375,,,,,,,,,,4712100
47,7141732,1,40,1,,8,1979-07-27,1,,,1966-09-20,Atividade Econônica não informada,,RUA,DR JOAO PESSOA,SN,,CENTRO,63400000.0,CE,1375,,,,,,,,,,8888888
48,41649872,1,62,1,,8,2008-12-31,71,,,1993-01-27,Comércio varejista de tecidos,,RUA,SALUSTIANO MOURA,583,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4755501
49,63495543,8,13,2,,8,2013-08-30,1,,,1993-11-09,Comércio varejista de gás liqüefeito de petróleo (GLP),,RUA,LIDUINA MELO,20,,FATIMA,63400000.0,CE,1375,,,,,,,,,,4784900
50,208461,1,54,1,,8,2008-12-31,71,,,1994-09-26,Comércio varejista de artigos do vestuário e acessórios,,RUA,ANTONIO VALDER VIANA,202,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4781400
51,7795628,1,70,1,AUTO PECAS SANTO ANTONIO,8,2008-12-31,71,,,1985-10-18,Comércio por atacado de peças e acessórios novos para veículos automotores,,RUA,S JOSE,75,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4530701
52,5658204,1,38,1,,8,2010-02-05,1,,,2003-05-15,Comércio varejista de móveis,,RUA,CEL. LUIZ FELIPE,120,124,CENTRO,63400000.0,CE,1375,,,,,,,,,,4754701
53,1895109,1,5,1,MERCADINHO O DEDINHO,8,1999-12-28,1,,,1997-06-13,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",,,MERCADO PUBLICO,S/N,BOX. 05,CENTRO,63400000.0,CE,1375,,,,,,,,,,4712100
54,703211,1,90,1,,8,2019-10-02,1,,,1995-07-18,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",,RUA,VEREADOR SALUSTIANO MOURA, 548,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4712100
55,73273823,1,64,1,,8,2003-04-24,1,,,1993-08-27,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",,RUA,VER SALUSTIANO MOURA,S/N,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4712100
56,41339714,1,6,1,,8,2008-12-31,71,,,1993-12-09,Atividades de associações de defesa de direitos sociais,"9493600,9499500",SITIO,OLHO D AGUA,S/N,,ZONA RURAL,63400000.0,CE,1375,,,,,,,,,,9430800
57,10381234,1,80,1,POSTO ALINE,8,2008-12-31,71,,,1985-12-17,Comércio varejista de combustíveis para veículos automotores,4732600,AVENIDA,JOSE QUINTINO,305,,PRADO,63400000.0,CE,1375,,,,,,,,,,4731800
58,86904372,1,68,1,MERCEFRUTAS,8,2008-12-31,71,,,1994-03-17,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",,RUA,SALUSTIANO MOURA,538,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4712100
59,8735534,1,78,1,BELISSIMA,8,2019-02-18,1,,,2007-03-28,Comércio varejista de artigos do vestuário e acessórios,"4782201,4782202",RUA,CEL JOSE DE ALBUQUERQUE,519,,CENTRO,63400000.0,CE,1375,88.0,35640576.0,,,,,,,,4781400
60,9591605,1,79,1,,8,2018-12-11,1,,,2008-05-26,Torrefação e moagem de café,"1091101,1092900",RUA,VICENTINA DE ALBUQUERQUE,187,,FATIMA,63400000.0,CE,1375,88.0,35814176.0,,,,,,,,1081302
61,9725973,1,62,1,,8,2008-12-31,1,,,2008-07-06,Atividades de organizações políticas,,RUA,RUA PADRE SÃ,250,,CENTRO,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,cedrocadavezmelhor@gmail.com,,,9492800
62,9755506,1,85,1,,8,2008-12-31,1,,,2008-07-06,Atividades de organizações políticas,,RUA,RUA 01,13,,CONJUNTO HABITACIONAL,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,cedrocadavezmelhor@gmail.com,,,9492800
63,9848769,1,39,1,,8,2008-12-31,1,,,2008-07-08,Atividades de organizações políticas,,RUA,RUA TABELIÃO RAIMUNDO DOS SANTOS,150,,FATÃMA,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,,,,9492800
64,9905402,1,0,1,,8,2008-12-31,1,,,2008-07-08,Atividades de organizações políticas,,RUA,RUA VALDER VIANA,90,,CENTRO,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,,,,9492800
65,10114552,1,84,1,,8,2008-12-31,1,,,2008-07-12,Atividades de organizações políticas,,RUA,JOEL PASSOS,84,,CENTRO,63400000.0,CE,1375,88.0,35640590.0,,,88.0,35640590.0,,,,9492800
66,10119638,1,8,1,,8,2008-12-31,1,,,2008-07-12,Atividades de organizações políticas,,RUA,CEL.JOSÃ DE ALBUQUERQUE,361,,CENTRO,63400000.0,CE,1375,88.0,35640590.0,,,88.0,35640590.0,,,,9492800
67,12464593,1,26,1,,8,2018-02-01,67,,,2010-08-31,Comércio varejista de carnes - açougues,4723700,RUA,SAO JOSE,1564,,PEDRA AVOANTE,63400000.0,CE,1375,88.0,92179533.0,,,,,,,,4722901
68,13743719,1,64,1,,8,2014-04-25,1,,,2011-06-02,Comércio varejista de bebidas,,RUA,Vereador Jose GonCalves Viana,130,,Fatima,63400000.0,CE,1375,88.0,92578658.0,,,,,fernandesfilho38@hotmail.com,,,4723700
69,15991385,1,73,1,,8,2012-12-31,1,,,2012-07-05,Atividades de organizações políticas,,RUA,JOSE VICENTE DA SILVA,07,,PEGA AVOANTE,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,joaobritolima@hotmail.com,,,9492800
70,15991910,1,50,1,,8,2012-12-31,1,,,2012-07-05,Atividades de organizações políticas,,RUA,TOTONHO ALVES,128,,ALTO DO PADEIRO,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,,,,9492800
71,16410997,1,98,1,,8,2012-12-31,1,,,2012-07-10,Atividades de organizações políticas,,RUA,PADRE EMIDIO LEMOS,75,CASA,CENTRO,63400000.0,CE,1375,88.0,99656682.0,,,88.0,35641020.0,prholiveira@hotmail.com,,,9492800
72,9291944,1,30,1,MOTO PECAS TRES IRMAOS,8,2020-09-21,1,,,2007-12-27,Comércio a varejo de peças e acessórios novos para  motocicletas e motonetas,4543900,RUA,JOSE PAJE,394,,CENTRO,63400000.0,CE,1375,88.0,92090818.0,,,,,CLEBIO.CONTABILIDADE@HOTMAIL.COM,,,4541206
73,17474860,1,60,1,SORVETERIA GONCALVES,8,2017-07-12,1,,,2013-01-25,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,,DISTRITO,Agrovila,SN,,Centro,63400000.0,CE,1375,88.0,97614584.0,,,,,edsondiasconsvendas@hotmail.com,,,4729699
74,17517287,1,24,1,AMAPEC EVENTOS E PUBLICIDADES,8,2015-09-09,1,,,2013-02-01,"Serviços de organização de feiras, congressos, exposições e festas","9001902,8299799,7319003,9609299,7739003",RUA,NOVO CEDRO I,20,,ALTO DO PADREIRO,63400000.0,CE,1375,88.0,92899311.0,,,,,,,,8230001
75,17554046,1,55,1,JHD SERVICOS ELETRICOS,8,2014-03-06,1,,,2013-02-01,Instalação e manutenção elétrica,"8599604,8230001,9511800,9521500",ALAMEDA,JOSE QUINTINO,514,,CENTRO,63400000.0,CE,1375,85.0,99340580.0,88.0,94422160.0,,,evilauvesjunior@bol.com.br,,,4321500
76,20667019,1,1,1,L'PREUVE,8,2018-06-21,1,,,2014-07-17,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal","4646001,4772500,6463800",GALERIA,LOURIVAL PEREIRA DA COSTA,35,,CENTRO,63400000.0,CE,1375,85.0,30250725.0,,,,,MANOEL.CIMIRRO@CIMEC.CNT.BR,,,2063100
77,22361895,1,22,1,FRIGORIFICO SAO RAIMUNDO,8,2016-04-01,1,,,2015-05-01,Comércio varejista de carnes - açougues,,RUA,VEREADOR SALUSTIANO MOURA,597,,CENTRO,63400000.0,CE,1375,88.0,92283426.0,,,,,,,,4722901
78,22939620,1,23,1,ASN COMERCIO E SERVICOS LTDA,8,2019-05-17,1,,,2015-07-28,Atividades de estética e outros serviços de cuidados com a beleza,,11A RUA,MONSENHOR ANTONIO VIERA COSTA,50,,ACUDE NOVO,63400000.0,CE,1375,88.0,97435505.0,,,,,joacysantosmonteiro@hotmail.com,,,9602502
79,24349802,1,70,1,BAR FAIXA AMARELA,8,2016-04-19,1,,,2016-03-10,Comércio varejista de bebidas,4755502,SITIO,Varzea Feia,000,,Zona Rural,63400000.0,CE,1375,88.0,92035076.0,,,,,,,,4723700
80,24680152,1,40,1,SERVICOS HOME CARE GERUSIA MONTEIRO,8,2023-03-21,1,,,2016-04-28,Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio,,RUA,MONSENHOR ANTONIO VIEIRA COSTA,147,TERREO A,ALTO DO PADEIRO,63400000.0,CE,1375,88.0,99574608.0,,,,,GERUSIAMARY@GMAIL.COM,,,8712300
81,24768259,1,45,1,PHYSICUS ACADEMIA,8,2021-01-18,1,,,2016-05-10,Atividades de condicionamento físico,"8591100,4763602",RUA,ADUATO  CASTELO,526,,CENTRO,63400000.0,CE,1375,88.0,96780935.0,,,,,,,,9313100
82,24909875,1,79,1,VIA BRASIL MODAS,8,2017-03-21,1,,,2016-06-01,Comércio varejista de artigos do vestuário e acessórios,"4763601,4755503,4755502,4783102,4783101,4789001,4789099,4782201,4772500",RUA,CEL JOSE DE ALBUQUERQUE,521,,CENTRO,63400000.0,CE,1375,88.0,97642265.0,,,,,viabrasilmodascedro@gmail.com,,,4781400
83,24988290,1,91,1,SERAFIM MODA MASCULINA,8,2017-04-16,1,,,2016-06-13,Comércio varejista de artigos do vestuário e acessórios,"4763601,4755503,4755502,4783102,4783101,4789001,4752100,4782201,4772500",RUA,ANTONIO VALDER VIANA,180,,CENTRO,63400000.0,CE,1375,88.0,93193277.0,,,,,serafimmodamasculina@gmail.com,,,4781400
84,25254620,1,88,1,NM MARKETING FOTOS & EVENTOS,8,2018-04-30,1,,,2016-07-21,Marketing direto,"8291100,7420001,4789008",RUA,AZARIAS ALVES DINIZ,223,TERREO,CENTRO,63400000.0,CE,1375,88.0,99869722.0,,,,,newton.advce@hotmail.com,,,7319003
85,25531992,1,4,1,OFICINA SAO BENEDITO,8,2017-02-08,1,,,2016-08-12,Fabricação de outros produtos de metal não especificados anteriormente,,RUA,ROSITA AFONSO  ARAUJO,127,,JARDIM AFONSO CELSO,63400000.0,CE,1375,88.0,99473901.0,,,,,,,,2599399
86,19682532,1,84,1,A G MOTOPECAS E SERVICOS,8,2014-09-11,1,,,2014-02-08,Comércio a varejo de peças e acessórios novos para  motocicletas e motonetas,4543900,RUA,VEREADOR SALUSTIANO MOURA,420,,CENTRO,63400000.0,CE,1375,99.0,97270600.0,,,,,clebio.contabilidade@hotmail.com,,,4541206
87,15188433,1,90,1,CONTABILIDADE E TUDO EM CEDRO,8,2017-01-31,1,,,2012-03-13,Atividades de contabilidade,,BECO,GALERIA BACANA,42,,CENTRO,63400000.0,CE,1375,88.0,96777879.0,,,,,evilauvesjunior@bol.com.br,,,6920601
88,16020817,1,61,1,,8,2012-12-31,1,,,2012-07-05,Atividades de organizações políticas,,RUA,AZARIA ALVES DINIZ,207,,CENTRO,63400000.0,CE,1375,0.0,0.0,,,0.0,0.0,HERTONBEZERRA@GMAIL.COM,,,9492800
89,25791098,1,73,1,,8,2016-12-31,1,,,2016-08-15,Atividades de organizações políticas,,RUA,CEL  ANTONIO AFONSO,339,,ACUDE NOVO,63400000.0,CE,1375,0.0,0.0,,,88.0,35640029.0,rodrigo22cedro@gmail.com,,,9492800
90,25803849,1,24,1,,8,2016-12-31,1,,,2016-08-15,Atividades de organizações políticas,,SITIO,SANTA FE,40,,SEDE,63400000.0,CE,1375,0.0,0.0,,,88.0,35640029.0,rodrigo22cedro@gmail.com,,,9492800
91,25842225,1,16,1,,8,2016-12-31,1,,,2016-08-15,Atividades de organizações políticas,,RUA,VEREADOR JOSE GOLCALVES VIANA,114,,CENTRO,63400000.0,CE,1375,0.0,0.0,,,88.0,35640191.0,diniz_cedro@hotmail.com,,,9492800
92,25845836,1,18,1,,8,2016-12-31,1,,,2016-08-15,Atividades de organizações políticas,,RUA,VEREADOR ANTONIO VIANA DE ARAUJO,328,,CENTRO,63400000.0,CE,1375,0.0,0.0,,,88.0,35640191.0,aparecidaevangelista12@hotmail.com,,,9492800
93,25847158,1,22,1,,8,2016-12-31,1,,,2016-08-15,Atividades de organizações políticas,,RUA,SENADOR JOAO TOME,272,,CENTRO,63400000.0,CE,1375,0.0,0.0,,,88.0,35640191.0,nilsondiniz17@gmail.com,,,9492800
94,25847647,1,84,1,,8,2016-12-31,1,,,2016-08-15,Atividades de organizações políticas,,RUA,LIDUINA ALVES DE MELO,129,,CENTRO,63400000.0,CE,1375,0.0,0.0,,,88.0,95640191.0,martaolgacaetano@hotmail.com,,,9492800
95,25899904,1,21,1,,8,2016-12-31,1,,,2016-08-16,Atividades de organizações políticas,,RUA,RAIMUNDA CANDIDA DE MOURA,150,,CENTRO,63400000.0,CE,1375,0.0,0.0,,,88.0,35640029.0,rodrigo22cedro@gmail.com,,,9492800
96,25859024,1,21,1,,8,2016-12-31,1,,,2016-08-15,Atividades de organizações políticas,,SITIO,CAJUI,100,,DISTRITO DE CANDEIAS,63400000.0,CE,1375,0.0,0.0,,,88.0,35640191.0,celsodebia@hotmail.com,,,9492800
97,25883591,1,13,1,,8,2016-12-31,1,,,2016-08-15,Atividades de organizações políticas,,RUA,NSA SRA DA CONCEICAO,12,,DISTRITO DE VARZEA DA CONCEICAO,63400000.0,CE,1375,0.0,0.0,,,88.0,35640191.0,jpvarzea255@hotmail.com,,,9492800
98,27139133,1,8,1,ATELIE MAOS DE FADA,8,2018-12-31,75,,,2017-02-17,Comércio varejista de artigos do vestuário e acessórios,4755502,RUA,PREFEITO ANTONIO ALVES DOS SANTOS,258,,FATIMA,63400000.0,CE,1375,88.0,99870212.0,,,,,fcrispim849@gmail.com,,,4781400
99,27499716,1,31,1,LAVA JATO NILSINHO,8,2017-10-11,1,,,2017-04-10,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","4723700,4789005,4520005",RUA,Cel Caetano Afonso,350,,Divisao,63400000.0,CE,1375,88.0,94627040.0,,,,,,,,4712100
100,27590274,1,34,1,CANTEIRO BELEZA VIVA,8,2020-01-22,1,,,2017-04-25,Comércio varejista de plantas e flores naturais,,DISTRITO,RUA VICENCA DUTRA,22,,ASSUNCAO,63400000.0,CE,1375,88.0,96963993.0,,,,,,,,4789002
101,28616851,1,82,1,,8,2018-02-19,1,,,2017-09-12,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",,SITIO,VILA NOVA,120,,DISTRITO DE CANDEIAS,63400000.0,CE,1375,88.0,88431440.0,,,,,,,,4712100
102,29674767,1,88,1,RESTAURANTE E PIZZARIA IGUATUENSE,8,2019-08-21,1,,,2018-02-13,Restaurantes e similares,"5611203,5611204,4729699",RUA,SENADOR JOAO TOME,106,,CENTRO,63400000.0,CE,1375,88.0,94353602.0,,,,,pastorjosenirchurrascaria@gmail.com,,,5611201
103,30969993,1,75,1,J2D TECH,8,2018-09-19,1,,,2018-07-19,Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico,"9511800,8599603,6190699",RUA,21 de Outubro,1269,CASA Casa,Alto do PAdiero,63400000.0,CE,1375,88.0,35641000.0,,,,,juniorsoares716@gmail.com,,,9521500
104,31186247,1,78,1,MD DIVULGACOES,8,2019-05-29,1,,,2018-08-13,Outras atividades de publicidade não especificadas anteriormente,"4923001,3329501",10A RUA,rosita afonso araujo,38,,jardim afonso celso,63400000.0,CE,1375,88.0,99706025.0,,,,,damianasoufeliz@hotmail.com,,,7319099
